model,prompt_type,temperature,parse_rate,emr,mae,severity_acc,acc_AV,acc_AC,acc_PR,acc_UI,acc_S,acc_C,acc_I,acc_A
gemma2,few_shot,0.3,100.0,2.5,1.925,40.0,77.5,92.5,72.5,70.0,87.5,67.5,65.0,50.0
gemma2,few_shot,0.5,100.0,7.5,1.912,42.5,80.0,90.0,70.0,67.5,87.5,67.5,65.0,52.5
gemma2,few_shot,0.7,97.5,5.0,1.651,50.0,80.0,90.0,75.0,70.0,82.5,70.0,65.0,52.5
gemma2,zero_shot,0.3,100.0,5.0,1.762,37.5,80.0,92.5,75.0,55.0,87.5,67.5,60.0,37.5
gemma2,zero_shot,0.5,100.0,2.5,1.78,37.5,80.0,90.0,77.5,50.0,87.5,67.5,65.0,37.5
gemma2,zero_shot,0.7,100.0,2.5,1.792,35.0,80.0,92.5,72.5,52.5,87.5,67.5,65.0,40.0
gpt5,few_shot,0.3,100.0,50.0,0.676,72.5,92.5,97.5,80.0,97.5,92.5,87.5,85.0,80.0
gpt5,few_shot,0.5,100.0,50.0,0.845,75.0,87.5,92.5,80.0,97.5,97.5,87.5,82.5,85.0
gpt5,few_shot,0.7,100.0,47.5,0.884,72.5,90.0,95.0,75.0,97.5,95.0,85.0,82.5,82.5
gpt5,zero_shot,0.3,100.0,37.5,0.897,65.0,90.0,97.5,82.5,95.0,87.5,85.0,85.0,80.0
gpt5,zero_shot,0.5,100.0,32.5,0.961,65.0,90.0,92.5,77.5,97.5,85.0,85.0,82.5,82.5
gpt5,zero_shot,0.7,100.0,42.5,0.85,77.5,87.5,95.0,80.0,95.0,87.5,87.5,85.0,82.5
llama3.1,few_shot,0.3,100.0,32.5,1.582,57.5,82.5,90.0,75.0,87.5,87.5,60.0,60.0,62.5
llama3.1,few_shot,0.5,100.0,35.0,1.769,52.5,80.0,90.0,75.0,82.5,87.5,62.5,55.0,70.0
llama3.1,few_shot,0.7,100.0,37.5,1.486,55.0,80.0,90.0,75.0,87.5,87.5,70.0,62.5,67.5
llama3.1,zero_shot,0.3,100.0,27.5,2.468,42.5,77.5,90.0,70.0,80.0,87.5,60.0,55.0,47.5
llama3.1,zero_shot,0.5,100.0,27.5,2.218,45.0,77.5,90.0,57.5,82.5,85.0,62.5,57.5,50.0
llama3.1,zero_shot,0.7,100.0,27.5,2.205,50.0,77.5,90.0,62.5,87.5,87.5,62.5,60.0,50.0
mistral,few_shot,0.3,100.0,17.5,1.567,40.0,82.5,90.0,47.5,90.0,87.5,72.5,77.5,70.0
mistral,few_shot,0.5,100.0,7.5,1.742,32.5,85.0,90.0,45.0,82.5,87.5,67.5,67.5,67.5
mistral,few_shot,0.7,100.0,10.0,1.411,45.0,85.0,90.0,42.5,82.5,87.5,72.5,75.0,75.0
mistral,zero_shot,0.3,97.5,27.5,2.045,42.5,75.0,85.0,47.5,82.5,85.0,65.0,60.0,65.0
mistral,zero_shot,0.5,97.5,25.0,2.147,45.0,75.0,85.0,47.5,80.0,85.0,65.0,57.5,65.0
mistral,zero_shot,0.7,95.0,25.0,2.266,42.5,75.0,82.5,45.0,77.5,82.5,57.5,60.0,67.5
qwen2.5,few_shot,0.3,100.0,5.0,1.96,40.0,77.5,90.0,77.5,70.0,67.5,65.0,80.0,65.0
qwen2.5,few_shot,0.5,100.0,10.0,1.757,42.5,77.5,90.0,77.5,70.0,65.0,67.5,85.0,67.5
qwen2.5,few_shot,0.7,97.5,5.0,1.9,45.0,77.5,87.5,75.0,67.5,62.5,65.0,80.0,62.5
qwen2.5,zero_shot,0.3,100.0,32.5,1.859,45.0,77.5,92.5,77.5,80.0,87.5,60.0,70.0,60.0
qwen2.5,zero_shot,0.5,100.0,32.5,1.828,45.0,77.5,92.5,77.5,80.0,87.5,62.5,70.0,60.0
qwen2.5,zero_shot,0.7,100.0,32.5,1.803,45.0,77.5,90.0,77.5,80.0,87.5,60.0,70.0,62.5
